senderAddress,text,label
AX-IndBnk,Your VPA sanju39chd@okaxis linked to Indian Bank a/c no. XXXXXX4658 is debited for Rs.30.00 and credited to naushaadbaba39@okhdfcbank (UPI Ref no 211298200980).-Indian Bank,General
VK-NPCIBM,"Dlocal has requested money from you on your BHIM app. On approving the request, INR 79.00 will be debited from your account. NPCI",Request
AD-IndBnk,Your VPA sanju39chd@okaxis linked to Indian Bank a/c no. XXXXXX4658 is debited for Rs.300.00 and credited to paytmqr28100505010108bygf0fmohm@paytm (UPI Ref no 211292073775).-Indian Bank,General
AD-IndBnk,Your VPA sanju39chd@okaxis linked to Indian Bank a/c no. XXXXXX4658 is debited for Rs.100.00 and credited to q45151340@ybl (UPI Ref no 211291936914).-Indian Bank,General
AX-IndBnk,Your VPA sanju39chd@okaxis linked to Indian Bank a/c no. XXXXXX4658 is debited for Rs.150.00 and credited to paytmqr2810050501011gh1blb1akhv@paytm (UPI Ref no 211290348255).-Indian Bank,General
AD-IndBnk,Your VPA sanju39chd@okaxis linked to Indian Bank a/c no. XXXXXX4658 is debited for Rs.200.00 and credited to shivuadiwal37@okhdfcbank (UPI Ref no 211281021914).-Indian Bank,Transfer
JM-INDBNK,OTP for Online Transactions on your Indian Bank Debit Card 4988 is KQS-548142.This is valid for the next 5 min.Dt 21-04-22 11.38,OTP
VM-JNGRMY,"Rs. 15 , added just for you! We've credited your Junglee Rummy account so you can play cash games! Hurry & Play now: https://jrum.my/DQn5X",SPAM
VD-SPRCRD,"Hi, finance charge of INR 6.00 has been reversed on your Bajaj Finserv RBL Bank SuperCard (XXXX07). The credit will reflect in your next statement. Please make your Card payments before the due date to avoid these charges in future.",Refund
VD-SPRCRD,"Hi, finance charge of INR 33.00 has been reversed on your Bajaj Finserv RBL Bank SuperCard (XXXX07). The credit will reflect in your next statement. Please make your Card payments before the due date to avoid these charges in future.",Refund
VM-INDBNK,Your VPA sanju39chd@okaxis linked to Indian Bank a/c no. XXXXXX4658 is debited for Rs.239.00 and credited to jio@yesbank (UPI Ref no 211044684271).-Indian Bank,Utilities
VM-INDBNK,Your VPA sanju39chd@okaxis linked to Indian Bank a/c no. XXXXXX4658 is debited for Rs.55.00 and credited to ravindergiri30094@oksbi (UPI Ref no 210773738409).-Indian Bank,General
VM-INDBNK,Your VPA sanju39chd@okaxis linked to Indian Bank a/c no. XXXXXX4658 is debited for Rs.40.00 and credited to mohraraju792@okicici (UPI Ref no 210670792377).-Indian Bank,General
VM-INDBNK,Your VPA sanju39chd@okaxis linked to Indian Bank a/c no. XXXXXX4658 is debited for Rs.100.00 and credited to lovelybro281@okaxis (UPI Ref no 210667680575).-Indian Bank,Transfer
VM-INDBNK,Your VPA sanju39chd@okaxis linked to Indian Bank a/c no. XXXXXX4658 is debited for Rs.210.00 and credited to paytmqr281005050101r5spc800n6j7@paytm (UPI Ref no 210659968041).-Indian Bank,General
MPLPRO,Congrats! We've credited Ludo Win ticket to your wallet. Use it now to play in the National Ludo Series and win upto Rs.2.5 Cr. Redeem Now: bit.ly/3LSwOqe - MPL,SPAM
VM-INDBNK,Your VPA sanju39chd@okaxis linked to Indian Bank a/c no. XXXXXX4658 is debited for Rs.20.00 and credited to paytmqr281005050101d4xa9ut3xdt1@paytm (UPI Ref no 210545329656).-Indian Bank,General
VM-INDBNK,Your VPA sanju39chd@okaxis linked to Indian Bank a/c no. XXXXXX4658 is debited for Rs.1.00 and credited to paytmqr281005050101phi2d7eobitk@paytm (UPI Ref no 210540062870).-Indian Bank,General
VM-INDBNK,Your VPA sanju39chd@okaxis linked to Indian Bank a/c no. XXXXXX4658 is debited for Rs.209.00 and credited to ravindergiri30094@oksbi (UPI Ref no 210431974891).-Indian Bank,Transfer
VM-INDBNK,Your a/c. XXXX4658 is credited by Rs. 20.00 on 13-04-22 by a/c linked to mobile 9XXXXXX999 (IMPS Ref no. 210322069652). -IndianBank,Income
VM-INDBNK,Your VPA sanju39chd@okaxis linked to Indian Bank a/c no. XXXXXX4658 is debited for Rs.150.00 and credited to q87809588@ybl (UPI Ref no 210313943924).-Indian Bank,General
BX-FLPKRT,"Dear Customer, You're 100% Pre-Approved for Credit Up to Rs. 1 Lakh* Sign Up for Flipkart Pay Later & Get Rs. 100* Gift Card

http://fkrt.it/fVgMNGuuuN",SPAM
VM-INDBNK,Your VPA sanju39chd@okaxis linked to Indian Bank a/c no. XXXXXX4658 is debited for Rs.50.00 and credited to lovelybro281@okaxis (UPI Ref no 210310136677).-Indian Bank,Transfer
VM-INDBNK,Your VPA sanju39chd@okaxis linked to Indian Bank a/c no. XXXXXX4658 is debited for Rs.50.00 and credited to lovelybro281@okaxis (UPI Ref no 210399643169).-Indian Bank,Transfer
VM-INDBNK,Your VPA sanju39chd@okaxis linked to Indian Bank a/c no. XXXXXX4658 is debited for Rs.80.00 and credited to paytmqr2810050501011gh1blb1akhv@paytm (UPI Ref no 210393143139).-Indian Bank,General
BV-INDBNK,"Your A/c XXX1824658  is credited by Rs. 6,000 Total Bal : Rs. 7,020.35 CR  Clr Bal : Rs. 7,020.35 CR as on:13/04/2022 13:18 -IndianBank",Income
JM-SPRCRD,"Hi, you have exceeded the total credit limit of INR 0 on your Bajaj Finserv RBL Bank SuperCard (XXXX07). Applicable Overlimit fee will be levied on your account. Current outstanding balance is INR 0.00. We request you to make an interim payment to enjoy uninterrupted services.",Info
VM-INDBNK,Your VPA sanju39chd@okaxis linked to Indian Bank a/c no. XXXXXX4658 is debited for Rs.10.00 and credited to pale.ram54@oksbi (UPI Ref no 210279327070).-Indian Bank,Transfer
VM-SBIDGT,Your SBI Debit Card ending with 8981 dispatched on 11042022 thru Speed Post No. EB049769289IN. Please follow instructions on welcome letter to generate your PIN,Info
VM-INDBNK,Your VPA sanju39chd@okaxis linked to Indian Bank a/c no. XXXXXX4658 is debited for Rs.1500.00 and credited to shreyajain2799@okaxis (UPI Ref no 210157481705).-Indian Bank,Transfer
VM-INDBNK,Your VPA 6280368198@ybl linked to Indian Bank a/c no. XXXXXX4658 is debited for Rs.100.00 and credited to CASHFREEONLINE@ybl (UPI Ref no 210176172546).-Indian Bank,General
JM-PHONPE,Indriver has requested money from you on PhonePe. Rs.100 will be debited from your account on approving the request - https://phon.pe/jqvkz365,Request
VM-INDBNK,Your VPA sanju39chd@okaxis linked to Indian Bank a/c no. XXXXXX4658 is debited for Rs.500.00 and credited to shreyajain2799@okaxis (UPI Ref no 210147788401).-Indian Bank,Transfer
VM-INDBNK,Your VPA sanju39chd@okaxis linked to Indian Bank a/c no. XXXXXX4658 is debited for Rs.100.00 and credited to apun14738@oksbi (UPI Ref no 210037248991).-Indian Bank,General
VM-INDBNK,Your VPA sanju39chd@okaxis linked to Indian Bank a/c no. XXXXXX4658 is debited for Rs.20.00 and credited to apun14738@oksbi (UPI Ref no 209918568977).-Indian Bank,General
VM-INDBNK,Your VPA sanju39chd@okaxis linked to Indian Bank a/c no. XXXXXX4658 is debited for Rs.200.00 and credited to paytmqr281005050101vlici044zwan@paytm (UPI Ref no 209913742331).-Indian Bank,General
VM-INDBNK,Your VPA sanju39chd@okaxis linked to Indian Bank a/c no. XXXXXX4658 is debited for Rs.184.00 and credited to paytmqr281005050101hevim543zzwx@paytm (UPI Ref no 209881026670).-Indian Bank,General
AX-SPRCRD,"Hi, Late Payment Fee of INR 177.00 has been reversed on your Bajaj Finserv RBL Bank SuperCard (XXXX07). The credit will reflect in your next statement. Please make your Card payments before the due date to avoid these charges in future.",Refund
VM-INDBNK,Your VPA 6280368198@paytm linked to Indian Bank a/c no. XXXXXX4658 is debited for Rs.91.00 and credited to jio@yesbank (UPI Ref no 209814123734).-Indian Bank,Utilities
VM-INDBNK,Your VPA sanju39chd@okaxis linked to Indian Bank a/c no. XXXXXX4658 is debited for Rs.200.00 and credited to paytmqr2810050501011hoihy6h7dr8@paytm (UPI Ref no 209762618788).-Indian Bank,General
VM-INDBNK,Your VPA sanju39chd@okaxis linked to Indian Bank a/c no. XXXXXX4658 is debited for Rs.30.00 and credited to bharatpe90720022941@yesbankltd (UPI Ref no 209761281396).-Indian Bank,General
VM-INDBNK,Your VPA sanju39chd@okaxis linked to Indian Bank a/c no. XXXXXX4658 is debited for Rs.1800.00 and credited to shreyajain2799@okaxis (UPI Ref no 209755074902).-Indian Bank,Transfer
VM-INDBNK,Your VPA sanju39chd@okaxis linked to Indian Bank a/c no. XXXXXX4658 is debited for Rs.200.00 and credited to shreyajain2799@okaxis (UPI Ref no 209755069260).-Indian Bank,Transfer
VM-IndBnk,Rs.352.82 spent on POS/Ecom using IB Debit card on 07/04/22 12:33 at PAYTM                  Noida   from Ac:XXX182465. Bal:418.03 CR -IndianBank,Shopping
JM-INDBNK,OTP for Online Transactions on your Indian Bank Debit Card 4988 is JXS-177988.This is valid for the next 5 min.Dt 07-04-22 12.32,OTP
VP-ViCARE,We received payment of Rs 352.82 for 9356965058 by CC. Txn ID PTViApp-POS3973353985455058-1. Amt to be credited in 30 mins. Track usage on Vi app - https://bit.ly/VI_App,Utilities
JM-INDBNK,OTP for Online Transactions on your Indian Bank Debit Card 4988 is JDS-159337.This is valid for the next 5 min.Dt 07-04-22 12.17,OTP
AX-IndBnk,Rs.395.30 spent on POS/Ecom using IB Debit card on 07/04/22 12:01 at PAYTM                  NOIDA   from Ac:XXX182465. Bal:1123.67 CR -IndianBank,Shopping
JM-INDBNK,OTP for Online Txn INR 395.30 at PAYTM on Indian Bank Debit card ending 4988 is 148426. Valid for 3min. Dt 07-04-2022 12:00:41. Do Not Disclose.,OTP
VM-INDBNK,Rs.352.82 spent on POS/Ecom using IB Debit card on 07/04/22 11:57 at PAYTM                  Noida   from Ac:XXX182465. Bal:1518.97 CR -IndianBank,Shopping
JM-INDBNK,OTP for Online Transactions on your Indian Bank Debit Card 4988 is FQN-288867.This is valid for the next 5 min.Dt 07-04-22 11.57,OTP
JM-INDBNK,OTP for Online Txn INR 352.82 at PAYTM on Indian Bank Debit card ending 4988 is 629806. Valid for 3min. Dt 07-04-2022 11:47:06. Do Not Disclose.,OTP
BV-INDBNK,Rs.368.22 spent on POS/Ecom using IB Debit card on 07/04/22 11:34 at PAYTM                  Noida   from Ac:XXX182465. Bal:371.79 CR -IndianBank,Shopping
JM-INDBNK,OTP for Online Transactions on your Indian Bank Debit Card 4988 is KLI-812707.This is valid for the next 5 min.Dt 07-04-22 11.33,OTP
BP-SPRCRD,Payment Overdue! Total Amount of Rs.1178.82 on RBL Bank Credit Card (xx07) was due by 01/04/22. Pay min of Rs.379.82 immediately at bit.ly/2TDeg5K . Ignore if paid.,Info
AD-IndBnk,Your VPA sanju39chd@okaxis linked to Indian Bank a/c no. XXXXXX4658 is debited for Rs.30.00 and credited to paytmqr281005050101qfhniu15jcz5@paytm (UPI Ref no 209627396393).-Indian Bank,General
BZ-FLPKRT,"Dear Customer, You're 100% Pre-Approved for Credit Up to Rs. 1 Lakh* Sign Up for Flipkart Pay Later & Get Rs. 100* Gift Card. 

http://fkrt.it/7QJk5ENNNN",SPAM
CP-IndBnk,Your VPA sanju39chd@okaxis linked to Indian Bank a/c no. XXXXXX4658 is debited for Rs.30.00 and credited to paytmqr281005050101sc2s2xjyml6b@paytm (UPI Ref no 209590254583).-Indian Bank,General
CP-IndBnk,Your VPA sanju39chd@okaxis linked to Indian Bank a/c no. XXXXXX4658 is debited for Rs.130.00 and credited to paytmqr2810050501011kuo2mbh73gx@paytm (UPI Ref no 209590229198).-Indian Bank,General
CP-IndBnk,Your VPA sanju39chd@okaxis linked to Indian Bank a/c no. XXXXXX4658 is debited for Rs.700.00 and credited to kd14117@oksbi (UPI Ref no 209356478495).-Indian Bank,Transfer
CP-IndBnk,Your VPA sanju39chd@okaxis linked to Indian Bank a/c no. XXXXXX4658 is debited for Rs.10.00 and credited to apun14738@oksbi (UPI Ref no 209350657103).-Indian Bank,General
AD-IndBnk,Your VPA sanju39chd@okaxis linked to Indian Bank a/c no. XXXXXX4658 is debited for Rs.70.00 and credited to apun14738@oksbi (UPI Ref no 209349661410).-Indian Bank,General
AX-IndBnk,Your VPA sanju39chd@okaxis linked to Indian Bank a/c no. XXXXXX4658 is debited for Rs.30.00 and credited to paytmqr2810050501011kuo2mbh73gx@paytm (UPI Ref no 209347387005).-Indian Bank,General
AD-IndBnk,Your VPA sanju39chd@okaxis linked to Indian Bank a/c no. XXXXXX4658 is debited for Rs.10.00 and credited to q457161782@ybl (UPI Ref no 209233651435).-Indian Bank,General
CP-IndBnk,Your VPA sanju39chd@okaxis linked to Indian Bank a/c no. XXXXXX4658 is debited for Rs.10.00 and credited to q457161782@ybl (UPI Ref no 209232611114).-Indian Bank,General
AX-IndBnk,Your VPA sanju39chd@okaxis linked to Indian Bank a/c no. XXXXXX4658 is debited for Rs.30.00 and credited to xgulshan84@oksbi (UPI Ref no 209077491285).-Indian Bank,General
BT-INDBNK,Your VPA sanju39chd@okaxis linked to Indian Bank a/c no. XXXXXX4658 is debited for Rs.4000.00 and credited to kd14117@oksbi (UPI Ref no 209074893518).-Indian Bank,Transfer
BH-SPRCRD,Payment for RBL Bank Credit Card(xx07) is due tomorrow. Total Amount Due is Rs.1178.82 & Min Amount Due is Rs.379.82. Pay at bit.ly/2TDeg5K . Ignore if paid.,Info
BP-SPRCRD,Alert! Total Amount Due on RBL Bank Credit Card(xx07) is Rs.1178.82 & Min Amount Due is Rs.379.82. Pay by 01/04/22 at bit.ly/2TDeg5K . Ignore if paid.,Info
MPLAPP,We have credited Rs. 5 in your wallet. Use it to play Rummy. Win upto Rs. 10000 real cash on spinwheel everyday this GIGL. Play now: bit.ly/3L4xZ5m -MPL,SPAM
JD-INDBNK,Your VPA sanju39chd-1@okhdfcbank linked to Indian Bank a/c no. XXXXXX4658 is debited for Rs.50.00 and credited to paytmqr2810050501011kuo2mbh73gx@paytm (UPI Ref no 208470867142).-Indian Bank,General
AD-IndBnk,Your VPA sanju39chd-1@okhdfcbank linked to Indian Bank a/c no. XXXXXX4658 is debited for Rs.20.00 and credited to bharatpe.90055749492@fbpe (UPI Ref no 208354284591).-Indian Bank,General
MPLAPP,We have credited Rs. 5 in your wallet. Use it to play Rummy. Win upto Rs. 10000 real cash on spinwheel everyday this GIGL. Play now: bit.ly/3L4xZ5m -MPL,SPAM
VK-INDBNK,Your VPA sanju39chd-1@okhdfcbank linked to Indian Bank a/c no. XXXXXX4658 is debited for Rs.20.00 and credited to paytmqr2810050501011kuo2mbh73gx@paytm (UPI Ref no 208347230182).-Indian Bank,General
QP-IndBnk,Your VPA 6280368198@ybl linked to Indian Bank a/c no. XXXXXX4658 is debited for Rs.2000.00 and credited to zomato@hdfcbank (UPI Ref no 208393075995).-Indian Bank,Food
VK-INDBNK,"Your A/c XXX1824658 is credited by Rs. 6,000 Total Bal : Rs. 6,747.91 CR  Clr Bal : Rs. 6,747.91 CR as on:23/03/2022 17:29 -IndianBank",Income
AD-IndBnk,Your VPA sanju39chd-1@okhdfcbank linked to Indian Bank a/c no. XXXXXX4658 is debited for Rs.25.00 and credited to jio@yesbank (UPI Ref no 208234489375).-Indian Bank,Utilities
TM-FLPKRT,"Dear Customer, You're pre-approved for instant credit up to Rs.70,000*. Buy Now & Pay Later with Flipkart Pay Later 

http://fkrt.it/1bT3X1NNNN",SPAM
VK-INDBNK,Your VPA sanju39chd-1@okhdfcbank linked to Indian Bank a/c no. XXXXXX4658 is debited for Rs.500.00 and credited to zomatomediaprivatelimited.rzp@sbi (UPI Ref no 208122170195).-Indian Bank,Food
BP-SPRCRD,Alert! Changes in Rent payments via RBL Bank Credit Card w.e.f. 08/02/22: only 1 Transaction/month (Rs.5000 or more) & up to 50% of Credit Limit will be allowed,Info
QP-JNGRMY,"Rs. 15 , added just for you! We've credited your Junglee Rummy account so you can play cash games! Hurry & Play now: https://jrum.my/DQn5X",SPAM
JZ-RELONE,"Dear Customer, 
You are now eligible for 20% cashback in JioMart Maha Cashback Program. The cashback will be credited to your Reliance One account linked with mobile no. within next 3 days. Redeem cashback on your next purchase. T&C apply.
Team JioMart",SPAM
VK-INDBNK,Your VPA sanju39chd-1@okhdfcbank linked to Indian Bank a/c no. XXXXXX4658 is debited for Rs.50.00 and credited to paytmqr281005050101i0alnxjho49c@paytm (UPI Ref no 208004821663).-Indian Bank,General
VK-INDBNK,Your a/c. XXXX4658 is credited by Rs. 10.00 on 21-03-22 by a/c linked to mobile 9XXXXXX999 (IMPS Ref no. 208000000522). -IndianBank,Income
AD-IndBnk,Your A/c XXX1824658 is debited by Rs. 0 Bal after Debit Rs. 371.40 CR MIN BAL NOT MAINTAINED.PL MAINTAIN. CR as on:20/03/2022 11:39 -IndianBank,Info
VM-INDBNK,Your VPA 6280368198@ybl linked to Indian Bank a/c no. XXXXXX4658 is debited for Rs.100.00 and credited to paytmqr281005050101xtqkmwqo0011@paytm (UPI Ref no 207824720459).-Indian Bank,General
QP-MONVEW,"Late EMI payments can lead to your credit score getting affected. You'll also need to pay extra charges. Don't wait, pay your Money View EMI now!",Info
BH-Upward,"Are you facing a credit crunch? Apply for Pre-Approved Upwards loan upto Rs 2.5 lakh. No Physical Docs, 48 hour disbursal. Click https://upwrds.in/231wl9ybQdb .",SPAM
BP-KISHTL,"Congrats! Check instant credit eligibility upto Rs 30000/- with PAN Number No paperwork! 100% secure credit with Kissht Click: 
lnkt.in/u/x0JrvcIVT",SPAM
BH-CCBEST,"Dear Customer, We recommend a new lender for you. Please apply on Fairmoney. Get Upto Rs. 50000 Loan Amount. Start Now tltx.in/bAPly -CreditHaat",SPAM
VK-SBIUPI,"Rs100.0 debited@SBI UPI frm A/cX2977 on 22Oct21 RefNo 129535840206. If not done by u, fwd this SMS to 9223008333/Call 1800111109 or 09449112211 to block UPI",General
BP-KISHTL,"Congrats! Check instant credit eligibility upto Rs 30000/- with PAN Number No paperwork! 100% secure credit with Kissht Click: 
lnkt.in/u/R0mWLE6N8",SPAM
BP-KISHTL,"Congrats! Check instant credit eligibility upto Rs 30000/- with PAN Number No paperwork! 100% secure credit with Kissht Click: 
lnkt.in/u/Z6jfV7225",SPAM
BH-Upward,Need Immediate Financial Help Upto Rs 300000 Lakh? Apply for credit from Upwards. Click here https://upwrds.in/231wl9ybQdb,SPAM
EASIRS,"Celebrate Diwali with upto  竄ｹ30,000 Instant cash credit from Kissht.
No Paperwork, Instant money transfer!
 
Download the app now:
https://1mm.in/Kissht

醇 Trusted By 1Cr+ Indians On Playstore",SPAM
QP-HOMECR,"Dear DEVWART, we understand that the current situation of COVID19 continues. Please maintain sufficient balance in bank a/c to pay EMI of Rs 2031. for your Home Credit Loan 4003226505. For any help, use Mobile app bit.ly/2GOaDjx Stay Home, Stay Safe!",Info
BP-KISHTL,"Congrats! Check instant credit eligibility upto Rs 30000/- with PAN Number No paperwork! 100% secure credit with Kissht Click: 
lnkt.in/u/6t9WtD5uc",SPAM
VK-HOMECR,"Dear DEVWART, EMI of Rs 1841. for your Home Credit Loan 4104901255 is due on 17-10-21. Please maintain sufficient balance in your bank account to be eligible for future offers. You can chat with us at 1kx.in/rDoIBc",Info
+919653946937,"Dear Customer,
Your A/C No. XXXXX754 is  Credited with Rs. 57000/- on 11th Oct 21.
Check now : d5m.in/s2pi6y",Income
BZ-ATMSBI,"Dear customer, transaction number 128504367547 for Rs16.00 by SBI Debit Card X6613 at 00218923 on 12Oct21 at 10:16:41. If not done forward this SMS to 9223008333 or call 18001111109/9449112211 to block card",General
BZ-iPaytm,"Bank transfer of Rs 175.00 to your a/c **2977, initiated on 12 OCT has been credited, with ref PYTM212854633171.Visit pytm.biz/Settlement. :Paytm",Transfer
VK-SBIPSG,"Dear Customer, INR 3,980.00 credited to your A/c No XX2977 on 11/10/2021 through NEFT with UTR 25205376131DC by SWIFTO UNIT OF API H, INFO: DelHybridSep21-SBI",Income
BV-CBSSBI,"Your A/C XXXXX872977 Credited INR 26,000.00 on 10/10/21 -Deposit of Cash at S5NK050949622 CDM. Avl Bal INR 33,786.35-SBI",Income
BP-CBSSBI,"Your A/C XXXXX872977 Credited INR 7,300.00 on 10/10/21 -Deposit of Cash at S5NK050949622 CDM. Avl Bal INR 7,786.35-SBI",Income
VM-MPLPRO,Congrats! We've credited Deposit Cash to your wallet. Use it to play in Indian T20 League on MPL and win upto Rs.10 Crores. Redeem Now: bit.ly/wall29s -MPL,SPAM
BP-CBSSBI,"Your A/C XXXXX872977 Credited INR 6,700.00 on 08/10/21 -Deposit of Cash at S5NK050949622 CDM. Avl Bal INR 6,708.35-SBI",Income
CP-KILOAN,"Congrats! Check instant credit eligibility upto Rs 30,000/- with PAN Number No paperwork! 100% secure credit with Kissht Click: http://qz6.in/eI7zS0",SPAM
+919318398144,"Avail up to Rs. 25,000 Credit Money directly to your Bank within Mins. Repay in easy EMIs. Min Docs Required. 
Apply Now: n5e.in/s/zpw0if95ok",SPAM
BX-ATMSBI,"Dear customer, transaction number 128012778018 for Rs16.00 by SBI Debit Card X6613 at 00218923 on 07Oct21 at 18:22:30. If not done forward this SMS to 9223008333 or call 18001111109/9449112211 to block card",General
BH-CCBEST,"Dear Customer, We recommend a new lender for you. Please apply on Fairmoney. Get Upto Rs. 50000 Loan Amount. Start Now tltx.in/37mW -CreditHaat",SPAM
IAVAIL,"Devwart, good news on durga pooja. Now,50%cashback on your processing fees on CreditLine of upto Rs5,000 from Avail Finance. Apply Now: https://bit.ly/2YqY7ES",SPAM
MiCred,"[Mi Credit] Thank you for applying with us. Your loan application status has been processed, kindly visit Mi Credit App to check your loan status.",Info
MiCred,"[Mi Credit] Dear customer, great news for you! Borrow up to Rs.2,00,000 without paperwork. Open Mi Credit app to get the money now!",SPAM
MiCred,[Mi Credit] You are one step away from getting the loan offer. Please share latest 3 month's bank statement on the app to complete your application process.,SPAM
JM-MONVEW,Late payments can cause a drop in your credit score & extra charges. Please maintain sufficient funds & ensure timely payment of your Money View EMI.,Info
MiCred,[Mi Credit] You are one step away from getting the loan offer. Please share latest 3 month's bank statement on the app to complete your application process.,SPAM
JD-MONVEW,Late payments can cause a drop in your credit score & extra charges. Please maintain sufficient funds & ensure timely payment of your Money View EMI.,Info
JD-MONVEW,Late payments can cause a drop in your credit score & extra charges. Please maintain sufficient funds & ensure timely payment of your Money View EMI.,Info
BH-CRDTRA,"Dear Customer, 
Get loan approval in 5 minutes. End to End online process only 3 documents required. 
Apply Now - tltx.in/0OjF 
Team Credithaat.",SPAM
MiCred,[Mi Credit] You are one step away from getting the loan offer. Please share latest 3 month's bank statement on the app to complete your application process.,SPAM
BZ-SBIINB,"Dear Customer, Your a/c no. XXXXXXXX2977 is credited by Rs.4170.00 on 03-10-21 by a/c linked to mobile 9XXXXXX999-TRUE CREDITS PVT LT (IMPS Ref no 127612635412).If not done by you, call 1800111109. -SBI",Income
JK-TRCRED,"Dear DEVWART,
Congratulation, Your loan of Rs.4170 is successfully disbursed to SBIN, 00000055146872977
https://tbal.io/OH?loanId=6511792
True Credits",Info
JD-TRCRED,"Dear DEVWART,
Your loan application TBLV05-11003-6511792 is approved for Rs.4727 for 2 Months.
Take Disbursement on True Balance App and get money in bank account with just one click
https://tbal.io/LVL
True Credits",Info
